,Date,Ticker,Name,Sector,MCAP [M],Open [$],Close [$],% Change,Vol. [M],Avg. Vol. [M],Avg. 10D Vol. [M],EPS est.,Trailing EPS,Forward EPS,EPS QoQ,Rev. Q Growth,% Inst. Holdings,% of 200DMA,% of 50DMA,Forward PE,Float [M],% Short Float,52W High
0,2020-11-16,ACM,AECOM,Industrials,7940.85888,48.19,47.57,1.3,2.848812,1.439872,2.050062,0.57,-2.72,2.44,0.07,0,0.89,21.38,6.5,20.29,158.640512,0.03,52.4
49,2020-11-16,TSN,Tyson Foods Inc,Consumer Defensive,22711.672832,61.04,60.83,0.35,1.725543,2.448113,2.348237,1.19,4.97,5.85,-0.22,0,0.84,0.35,3.72,10.66,286.670122,0.02,94.24
28,2020-11-16,CRNC,Cerence Inc,Technology,2422.589952,64.67,64.0,1.05,0.482174,0.609761,0.425962,0.34,0.0,0.0,0.0,0,1.07,42.5,13.04,0.0,35.750905,0.18,67.74
29,2020-11-16,CRNC,Cerence Inc,Technology,2422.589952,64.67,64.0,1.05,0.482174,0.609761,0.425962,0.34,0.0,0.0,0.0,0,1.07,42.5,13.04,0.0,35.750905,0.18,67.74
87,2020-11-17,KSS,Kohls Corp,Consumer Cyclical,3827.621632,23.1,22.68,1.85,10.762476,9.595941,10.80575,-0.45,-0.7,1.81,-0.8,0,0.85,9.79,8.03,13.4,156.022184,0.18,59.24
61,2020-11-16,YY,JOYY Inc,Communication Services,7605.197312,95.12,94.01,1.18,0.693332,0.835424,1.137062,1.0,4.04,5.67,269.69,0,0.74,19.87,10.01,16.6,55.770356,0.0,104.17
108,2020-11-18,KLIC,Kulicke and Soffa Industries Inc,Technology,1756.258816,28.51,28.12,1.39,0.448451,0.3837,0.399287,0.31,0.67,1.57,7.66,0,0.92,19.25,10.09,18.09,60.031286,0.02,29.94
82,2020-11-17,ARMK,Aramark,Consumer Cyclical,8649.248768,33.55,32.96,1.79,1.522067,2.420092,2.773762,-0.34,-0.91,0.6,0.0,0,1.02,29.03,15.4,56.98,250.185294,0.08,47.22
114,2020-11-18,BILI,Bilibili Inc,Communication Services,16891.380736,46.35,45.9,0.98,5.970541,4.510001,6.578537,-0.37,-0.83,-0.58,0.0,0,0.52,11.85,2.7,-84.31,157.49559,0.0,54.0
117,2020-11-18,LB,L Brands Inc,Consumer Cyclical,9542.708224,33.62,33.06,1.69,4.842163,4.530646,3.4621,0.06,-2.86,2.13,0.0,0,0.79,42.5,2.18,16.12,166.622255,0.05,35.41
94,2020-11-17,AQUA,Evoqua Water Technologies Corp,Industrials,3203.048704,26.83,26.74,0.34,0.523817,0.60475,0.619025,0.22,0.71,0.65,4.17,0,0.95,33.32,13.57,42.05,90.245873,0.02,27.48
109,2020-11-18,AVYA,Avaya Holdings Corp,Technology,1553.348096,19.28,19.0,1.47,0.818429,1.532972,1.384887,1.2,-7.66,4.72,0.0,0,1.14,31.99,8.94,3.97,74.310104,0.21,19.7
118,2020-11-18,NUAN,Nuance Communications Inc,Technology,9778.975744,34.94,34.6,0.98,1.877324,3.197786,2.8527,0.16,0.52,0.87,0.8,0,0.97,25.24,3.67,39.82,265.455152,0.07,36.35
